Review,Sentiment
The headphones is an unremarkable headphones.,Neutral
"The mouse is okay, nothing special.",Neutral
The webcam is a bad investment.,Negative
"The webcam is okay, nothing special.",Neutral
The lamp is a fantastic deal.,Positive
I hate this desk. Visit HTTPS://ABC.COM,Negative
I am really enjoying this keyboard.,Positive
"Superb charger, I am a happy customer.",Positive
The tablet is mediocre at best.,Neutral
This earbuds is a bad purchase overall.,Negative
This tablet is a forgettable device.,Neutral
The blanket is comfortable and lightweight.,Positive
The chair is a forgettable thing.,Neutral
The chair is fast and responsive.,Positive
I am very frustrated with this DESK.,Negative
"Average quality keyboard, does the job. 4567 😊",Neutral
This lamp is a forgettable model.,Neutral
The monitor is stylish and functional.,Positive
The headphones is a flop.,Negative
This keyboard is a great choice.,Positive
Brilliant  mouse  with great features.,Positive
"Terrible printer, total waste of money.",Negative
I am really enjoying this headphones.,Positive
I am very frustrated with this tablet.,Negative
The mouse is a wonderful experience.,Positive
This webcam is a DISASTER. 100%,Negative
The heater is a forgettable item.,Neutral
This drone is a dud.,Negative
This mouse is a complete failure.,Negative
I am blown away by this headphones.,Positive
This watch is a bad model overall.,Negative
This router is a forgettable thing. 😡,Neutral
This desk is a vanilla version.,Neutral
The phone is a forgettable buy.,Neutral
This webcam is a forgettable purchase. Visit http://review.example.com 3x 😊,Neutral
I am very impressed by this air fryer.,Positive
This headphones is a complete failure.,Negative
Best blender I have ever bought.,Positive
I regret buying this backpack.,Negative
So pleased with this headphones.,Positive
The monitor is a forgettable purchase.,Neutral
This backpack is a total winner.,Positive
The camera is a FORGETTABLE deal. 🙄,Neutral
Worst laptop I have ever purchased.,Negative
This chair is a forgettable experience.,Neutral
This heater is a must have.,Positive
This blanket is a forgettable buy.,Neutral
This earbuds is a forgettable model.,Neutral
I am very upset with this lamp.,Negative
This webcam changed my daily routine.,Positive
The fan exceeded my expectations.,Positive
This webcam is simply the best.,Positive
This headphones is a bad buy.,Negative
The vacuum is a bad purchase.,Negative
It is an ordinary drone.,Neutral
This webcam is a terrible purchase.,Negative
This microphone is a forgettable option.,Neutral
The fan is a so so purchase.,Neutral
I regret buying this camera.,Negative
This watch is a great value for money.,Positive
"This mouse is a scam, do not buy.",Negative
The laptop is a bad model.,Negative
"I adore this fan, it is beautiful.",Positive
This air fryer is a typical air fryer.,Neutral
This charger is simply the best.,Positive
This mouse is incredible value.,Positive
This toaster is simply the best.,Positive
THE fan is fine but could be better.,Neutral
The backpack broke after one week.,Negative
The mouse is a flop. 4567,Negative
The fan does not work as advertised. Visit https://amzn.to/3xyz 😡,Negative
The microphone is a reasonable choice.,Neutral
The chair is a bad choice overall.,Negative
"Outstanding earbuds, top notch quality.",Positive
The toaster is a bad model.,Negative
The webcam is a forgettable thing.,Neutral
This heater is a bad model overall. 123,Negative
</p> I am extremely satisfied with this toaster. <br> Visit https://www.productlink.com/page1,Positive
This webcam is a game changer.,Positive
"The laptop is okay, nothing special.",Neutral
The blanket is a fantastic investment.,Positive
The camera is powerful and compact.,Positive
This drone is a forgettable choice.,Neutral
The keyboard is a bad option.,Negative
This headphones is a bad item overall.,Negative
<br/> It is an ordinary headphones. </p>,Neutral
The vacuum is neither good nor bad.,Neutral
The desk is a fantastic product overall.,Positive
This laptop is a forgettable purchase. 👍 v2.0,Neutral
This microwave is a bad deal. 👎,Negative
This printer is a bad buy. Visit https://abc.com 3x,Negative
The watch is a bad buy overall.,Negative
This watch is a great investment.,Positive
The speaker is fast and responsive.,Positive
I am so glad I bought this phone.,Positive
The  keyboard  is a bad choice overall. 4567 😡,Negative
This toaster is a bad buy.,Negative
The phone is fine but could be better.,Neutral
This headphones is a wonderful gift.,Positive
The backpack is a bad choice.,Negative
This vacuum is a BAD item. Visit http://review.example.com 😐,Negative
</i> The monitor is worth every penny. Visit https://www.productlink.com/page1 </p> 4567,Positive
"</i> I adore this monitor, it is beautiful. <p>",Positive
"This router is a scam, do not buy.",Negative
This speaker makes life so much easier.,Positive
This desk IS a forgettable experience. Visit https://abc.com,Neutral
This camera is a bad purchase overall.,Negative
This watch is just okay.,Neutral
This camera is a dud.,Negative
Worst fan I have ever purchased.,Negative
This blanket is wonderful and easy to use.,Positive
"</b> Amazing chair, highly recommend it. <i>",Positive
<br>  The  heater is a bad choice overall. <p> 4567,Negative
The headphones is a solid purchase.,Positive
This desk is a bad product overall.,Negative
This microwave is a poor choice.,Negative
This lamp is a bad deal overall.,Negative
The heater exceeded my expectations.,Positive
This chair is average in every way.,Neutral
I am very annoyed with this blanket.,Negative
The phone is a reasonable choice.,Neutral
This laptop is a bad item.,Negative
This printer is a huge disappointment.,Negative
The  watch  is a forgettable deal. Visit https://www.productlink.com/page1 50%,Neutral
The pillow is a bad option overall.,Negative
The tablet is a wonderful experience.,Positive
The fan is a top quality item.,Positive
The desk is a forgettable choice.,Neutral
"The  pillow  is superb, five stars! 👎 Visit https://amzn.to/3xyz",Positive
I am very disappointed by this watch.,Negative
The blender is a bad buy.,Negative
The fan is comfortable and lightweight.,Positive
The charger is worth every penny.,Positive
The backpack is a basic model.,Neutral
This keyboard is just okay.,Neutral
"The pillow is okay, nothing special.",Neutral
This  laptop  is acceptable for the price. Visit http://review.example.com,Neutral
The blender is a fantastic product overall.,Positive
<br> The blender is stylish and FUNCTIONAL. <br> 100%,Positive
I am very angry about this speaker.,Negative
The router is a fantastic investment.,Positive
The drone is a bad buy overall.,Negative
This headphones is a huge disappointment. 4567 Visit https://abc.com,Negative
The earbuds exceeded my expectations.,Positive
I am in love with this laptop.,Positive
</b>  Worst  headphones I have ever purchased. <p>,Negative
This pillow is decent but not great.,Neutral
The watch is a forgettable option.,Neutral
The blender is a forgettable option.,Neutral
The air fryer is a delight to use.,Positive
This camera is fantastic and works perfectly.,Positive
The drone is a superb choice. Visit https://www.productlink.com/page1 2nd,Positive
This monitor is a common model.,Neutral
This keyboard is a forgettable item.,Neutral
The vacuum is mediocre at best.,Neutral
The charger is a wonderful experience.,Positive
This vacuum is a forgettable purchase.,Neutral
The router is a bad device overall.,Negative
"My favorite purchase this YEAR, this keyboard. Visit www.checkthis.com ⭐",Positive
This blender changed my daily routine.,Positive
This microphone is a lifesaver.,Positive
The speaker is frustrating to use.,Negative
The heater is a forgettable item.,Neutral
This pillow is just standard.,Neutral
This speaker is awful and cheap.,Negative
The backpack is a wonderful experience.,Positive
This fan is a lifesaver.,Positive
I am extremely satisfied with this chair. Visit www.checkthis.com,Positive
The drone is a bad model.,Negative
The toaster is a basic model.,Neutral
The toaster is a competent but basic item.,Neutral
This laptop is a great investment.,Positive
I am very annoyed with this heater.,Negative
The desk is a bad deal.,Negative
I hate this camera.,Negative
The air fryer is a forgettable model.,Neutral
"Outstanding air fryer, top notch quality.",Positive
I am very unhappy with this pillow.,Negative
It is an ordinary webcam.,Neutral
This heater is a dud.,Negative
The desk is a bad choice.,Negative
This heater is a bad device.,Negative
The tablet is a pleasure to work with.,Positive
The router is a great find.,Positive
This mouse is a must have.,Positive
This phone is a great choice.,Positive
"Average quality camera, does the job.",Neutral
This earbuds is a bad model.,Negative
I am really enjoying this camera.,Positive
The lamp is a forgettable thing.,Neutral
This watch is awful and cheap.,Negative
The lamp is a forgettable option.,Neutral
This lamp is a joy to own.,Positive
This toaster is a lifesaver.,Positive
The microphone works fine for basic needs. v2.0,Neutral
The router stopped working immediately.,Negative
<i> The tablet is a forgettable item. <br>,Neutral
The blanket is a forgettable device.,Neutral
This microphone is a great value for money.,Positive
I am very annoyed with this microwave.,Negative
This microwave is a modest purchase.,Neutral
The mouse is fast and responsive.,Positive
The backpack is a nightmare to set up.,Negative
The desk does not work as advertised.,Negative
The tablet is frustrating to use.,Negative
The tablet is a bad choice overall.,Negative
This backpack is a plain backpack.,Neutral
This laptop is a bad device.,Negative
Worst camera I have ever purchased.,Negative
The charger is a bad device overall.,Negative
This earbuds is a bad product.,Negative
This fan is neither impressive nor terrible.,Neutral
This toaster is nothing to write home about.,Neutral
This printer is a forgettable model.,Neutral
"Outstanding air fryer, top notch quality.",Positive
This monitor is a forgettable item.,Neutral
The  BACKPACK  is a pleasure to work with.,Positive
I am very upset with this charger.,Negative
This watch is a bad item overall.,Negative
The printer is a mess.,Negative
The monitor is a fantastic investment.,Positive
The backpack is a bad device overall.,Negative
This laptop is a serviceable option.,Neutral
I am very frustrated with this blanket.,Negative
The watch is a forgettable choice. 3x 😊 Visit https://abc.com,Neutral
This chair is a bad purchase overall.,Negative
The chair works fine for basic needs.,Neutral
I hate this fan.,Negative
This watch is a modest purchase.,Neutral
The laptop is a forgettable thing.,Neutral
This air fryer is a bad buy.,Negative
The TABLET is a bad choice. 3x,Negative
Great quality mouse for the price.,Positive
The lamp is powerful and compact.,Positive
I am very impressed by this tablet.,Positive
I am very dissatisfied with this earbuds.,Negative
The keyboard is fine but could be better.,Neutral
"Terrible fan, total waste of money.",Negative
This vacuum is a bad deal overall.,Negative
This air fryer is a disaster.,Negative
This vacuum is a lifesaver.,Positive
</p> THIS router is a forgettable choice. <p> 😊,Neutral
This keyboard is a middle of the road option.,Neutral
The chair broke after one week.,Negative
The earbuds is a fantastic product overall.,Positive
This heater is a great buy.,Positive
This headphones is wonderful and easy to use.,Positive
The printer is a bad purchase.,Negative
The phone is a nightmare to set up. 😍,Negative
This speaker is a bad experience overall. 😊 Visit www.checkthis.com,Negative
The tablet is a fantastic deal.,Positive
"Excellent laptop, fast delivery too.",Positive
This desk is a plain desk.,Neutral
So pleased with this backpack.,Positive
This drone is a forgettable choice.,Neutral
This desk is a forgettable buy.,Neutral
This  phone  is absolutely perfect. 4567 Visit https://abc.com,Positive
This desk is average in every way.,Neutral
This monitor is a great investment.,Positive
The watch is a bad buy overall.,Negative
This watch is a bad deal.,Negative
"Terrible phone, total waste of money.",Negative
THE router is a bad option overall. 3x ⭐,Negative
This air fryer is a vanilla version.,Neutral
The printer is sleek and modern.,Positive
This tablet is a middle tier option.,Neutral
This camera is a forgettable purchase.,Neutral
This tablet is a joy to own.,Positive
"Fantastic phone, would buy again.",Positive
The monitor broke after one week.,Negative
This headphones is a bad experience overall.,Negative
Very disappointed with this chair.,Negative
<I> This chair is a joy to own. </b>,Positive
This phone is a huge disappointment.,Negative
The toaster is a flop.,Negative
The webcam is a bad device overall.,Negative
This charger is a bad device.,Negative
This fan is wonderful and easy to use.,Positive
This webcam is a modest purchase.,Neutral
The speaker is a run of the mill speaker.,Neutral
The  keyboard  is powerful and compact. Visit https://abc.com 50%,Positive
I am very impressed with this drone.,Positive
The desk is a bad option overall.,Negative
The blanket is a forgettable deal.,Neutral
<br> The backpack is a bad buy. <p>,Negative
The camera is a bad device.,Negative
The vacuum is a forgettable option.,Neutral
The camera is a fantastic deal.,Positive
This router is a bad deal overall.,Negative
This charger is a bad deal.,Negative
I am blown away by this router.,Positive
<i> The tablet stopped working immediately. <b>,Negative
The microwave is a run of the mill microwave.,Neutral
The monitor is mediocre at best.,Neutral
This chair is a forgettable choice.,Neutral
I am so glad I bought this keyboard.,Positive
"The microwave is superb, five stars!",Positive
This headphones is a disaster.,Negative
The  charger  is a forgettable model.,Neutral
The fan is fine but could be better.,Neutral
The laptop is a forgettable thing.,Neutral
<i>  This  laptop is simply the best. <br/>,Positive
This monitor is nothing to write home about.,Neutral
I am very frustrated by this drone.,Negative
"My favorite purchase this year, this watch.",Positive
This headphones is neither impressive nor terrible.,Neutral
The charger is a forgettable item.,Neutral
Best blender I have ever bought.,Positive
Brilliant chair with great features.,Positive
This headphones is a great choice. Visit www.checkthis.com,Positive
I am in love with this chair.,Positive
This speaker is a great addition to my home.,Positive
"Excellent earbuds, fast delivery too.",Positive
The camera is a forgettable deal.,Neutral
The watch is frustrating to use.,Negative
This toaster is a complete failure.,Negative
This toaster is a waste of time.,Negative
The air fryer is a mess.,Negative
The heater is neither good nor bad.,Neutral
The speaker is a bad item.,Negative
The  microwave  is a forgettable device.,Neutral
I HATE this fan.,Negative
This  fan  is a MODEST purchase.,Neutral
The pillow is a bad experience.,Negative
The router is a bad choice overall.,Negative
This toaster is a complete failure.,Negative
This desk is a real bargain.,Positive
The tablet is a tolerable purchase.,Neutral
Really happy with this blender.,Positive
<br/> I am very dissatisfied by this headphones. <br/>,Negative
This laptop is a terrible purchase.,Negative
This fan is a forgettable purchase.,Neutral
The blanket is comfortable and lightweight.,Positive
This speaker is a middle of the road option.,Neutral
This router is a dud.,Negative
The chair is a simple device.,Neutral
The vacuum is a bad option.,Negative
This charger is a bad product overall.,Negative
The headphones is a standard offering.,Neutral
I am extremely satisfied with this charger.,Positive
The watch is a forgettable model.,Neutral
This speaker is a poor choice.,Negative
The watch is fine but could be better.,Neutral
I am so glad I bought this laptop.,Positive
The phone is a bad purchase. 3x Visit https://www.productlink.com/page1,Negative
This blender is a total winner.,Positive
This router is a bad item overall.,Negative
The charger does not work as advertised.,Negative
The phone is a bad choice.,Negative
The heater is a competent but basic item.,Neutral
This phone is a brilliant design.,Positive
The keyboard is a bad buy overall.,Negative
This drone is a bad option.,Negative
This backpack is a dud.,Negative
The backpack is a forgettable item.,Neutral
I am very dissatisfied by this watch.,Negative
The camera is passable but unremarkable.,Neutral
The charger is a bad deal.,Negative
</p> THE microwave is reliable and efficient. <b>,Positive
I am very dissatisfied by this blender.,Negative
I am extremely satisfied with this monitor.,Positive
The watch is a forgettable model.,Neutral
"Fantastic laptop, would buy again.",Positive
The heater exceeded my expectations. 😊,Positive
</p> This webcam is a BAD deal overall. <br/>,Negative
This toaster is a bad thing.,Negative
I am thrilled with this vacuum.,Positive
<p> The BLANKET is a superb choice. </b> 🙄,Positive
This desk is a bad deal overall.,Negative
This blanket is a forgettable device.,Neutral
The printer is a bad choice.,Negative
This router is absolutely perfect.,Positive
The speaker is a bad choice.,Negative
This microphone is a common model.,Neutral
</b> This drone is A game changer. <i> Visit https://abc.com,Positive
The air fryer is a forgettable thing.,Neutral
This microphone is a bad option.,Negative
This chair is a great choice.,Positive
This blanket is a piece of junk.,Negative
The speaker is a bad experience.,Negative
This monitor is a real bargain.,Positive
This tablet is a great buy.,Positive
I am very impressed by this chair.,Positive
This vacuum is a great addition to my home.,Positive
So pleased with this desk.,Positive
This earbuds is absolutely perfect.,Positive
I am very impressed with this microwave.,Positive
This microphone is a terrible purchase.,Negative
</i> This blender is a forgettable choice. Visit https://amzn.to/3xyz 2nd <b>,Neutral
This monitor is just standard.,Neutral
The laptop is a basic model.,Neutral
The tablet is adequate for everyday use.,Neutral
This desk is neither impressive nor terrible.,Neutral
"The air fryer is okay, nothing special.",Neutral
I am very happy with this earbuds.,Positive
The microphone is a bad purchase.,Negative
I am very annoyed with this toaster.,Negative
Brilliant keyboard with great features.,Positive
So pleased with this laptop.,Positive
The headphones is reliable and efficient.,Positive
The webcam is a solid purchase.,Positive
This lamp is simply the best.,Positive
This earbuds is a great buy.,Positive
This phone is a forgettable buy. Visit http://review.example.com 100%,Neutral
This earbuds is a real bargain.,Positive
The heater is a standard offering.,Neutral
This keyboard is a bad deal.,Negative
I am very happy with this blender.,Positive
The camera is a solid purchase.,Positive
The  heater  is a so so purchase.,Neutral
This microphone is a great choice.,Positive
I am very dissatisfied by this webcam.,Negative
The laptop is a solid purchase.,Positive
This heater is a middle tier option.,Neutral
Worst  blender  I have ever purchased. 😡 Visit https://abc.com,Negative
I am extremely satisfied with this headphones.,Positive
"Average quality fan, does the job.",Neutral
The lamp is stylish and functional.,Positive
The watch is a mess.,Negative
The fan is a bad experience.,Negative
The backpack does not work as advertised.,Negative
The monitor is a fantastic product overall.,Positive
This chair is a forgettable buy.,Neutral
"</p> Average quality charger, does the job. 4567 <i> Visit www.checkthis.com",Neutral
The charger is a mess.,Negative
This heater is a bad purchase overall.,Negative
I am very angry about this fan.,Negative
This desk is a bad option.,Negative
The printer is a letdown.,Negative
The desk is a fantastic investment.,Positive
"I adore this mouse, it is beautiful.",Positive
I am in love with this microwave.,Positive
The keyboard is a forgettable choice.,Neutral
This air fryer is a forgettable item.,Neutral
The tablet is a superb choice.,Positive
This monitor is a forgettable buy.,Neutral
The backpack is comfortable and lightweight.,Positive
The chair is adequate for everyday use.,Neutral
The webcam is a bad thing overall.,Negative
The air fryer is mediocre at best.,Neutral
The heater IS a mess.,Negative
The router is a competent but basic item.,Neutral
This printer is a bad deal overall.,Negative
The pillow is overpriced and useless. Visit https://amzn.to/3xyz,Negative
The blanket is frustrating to use.,Negative
The blender is a reasonable choice.,Neutral
This microphone is a disaster.,Negative
This tablet is a forgettable choice.,Neutral
This lamp is just okay.,Neutral
This heater is a bad model overall.,Negative
"The backpack is superb, five stars!",Positive
The desk is a basic model.,Neutral
The speaker is frustrating to use.,Negative
This phone is a disaster.,Negative
</b> The backpack is a bad buy overall. <br> v2.0,Negative
The heater is a bad device.,Negative
This webcam is a total winner.,Positive
This toaster is a forgettable item.,Neutral
The laptop is a competent but basic item.,Neutral
This phone is wonderful and easy to use.,Positive
This speaker is awful AND cheap. 😡 50%,Negative
The speaker is adequate for everyday use.,Neutral
I am very unhappy with this camera.,Negative
This camera is a fair deal.,Neutral
The phone is a wonderful experience.,Positive
The keyboard is a bad choice overall.,Negative
The blanket is powerful and compact.,Positive
This router is nothing to write home about.,Neutral
This charger is a bad option.,Negative
The chair is a bad choice overall.,Negative
The charger is a forgettable deal.,Neutral
This webcam is a forgettable model.,Neutral
This printer is a plain printer.,Neutral
<p> This desk is wonderful and easy to use. <p>,Positive
This chair is a fair deal.,Neutral
This lamp is acceptable for the price.,Neutral
"Outstanding charger, top notch quality.",Positive
"Outstanding blanket, top notch quality.",Positive
This lamp is a forgettable purchase.,Neutral
The chair is a bad thing overall.,Negative
This phone is a forgettable device.,Neutral
The blanket is a superb choice.,Positive
This  vacuum  is a bad purchase. 2nd Visit www.checkthis.com,Negative
The air fryer is a forgettable model.,Neutral
This heater is a great choice.,Positive
The backpack is a bad buy.,Negative
The watch is a bad model.,Negative
<i> This microphone is a total winner. </p> 100%,Positive
The charger stopped working immediately.,Negative
This BLANKET is a forgettable item.,Neutral
The fan is reliable and efficient.,Positive
This webcam is A forgettable experience. Visit https://amzn.to/3xyz 2nd,Neutral
THIS camera is a serviceable option. 2nd 😊,Neutral
The earbuds is a forgettable item.,Neutral
This phone is a terrible purchase.,Negative
This heater is a plain heater.,Neutral
I love this pillow!,Positive
I am very impressed by this air fryer.,Positive
The drone is a passable product.,Neutral
The charger is a forgettable option.,Neutral
This charger is a total winner. 👍 2nd,Positive
